,descricao
276,"São Paulo, 01 de setembro de 2020. Começou ontem o período para os partidos fazerem as convenções partidárias, que vão definir os nomes indicados para disputa eleitoral deste ano. Você sabe o que isso significa? Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Arte de capa: Magno Borges/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
277,"São Paulo, 31 de agosto de 2020. Marcelino Melo mora na zona sul de São Paulo e utiliza sua arte no campo da fotografia, audiovisual e, mais recentemente na construção de miniaturas, para retratar e celebrar a estética periférica, mostrando suas belezas e contrastes. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Léu Britto/Agência Mural "
278,"São Paulo, 28 de agosto de 2020. ?Toda sexta-feira, a gente traz para você o Rolê no Sofá. Vamos te contar o que tá rolando de mais legal pra fazer no fim de semana, daí mesmo, do sofá de casa. E hoje a dica é para curtir um cineminha na faixa. Vamos nessa?! ? Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
279,"São Paulo, 27 de agosto de 2020. Ficamos sabendo de uma publicação que anda circulando nas redes sobre uma vacina contra Covid-19 que teoricamente viria com um chip 5G para controlar a população. Fomos investigar! ? Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Léu Britto/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
280,"São Paulo, 26 de agosto de 2020. Depois de um período fechadas por causa da pandemia, as praças de atendimento das 32 subprefeituras de São Paulo voltaram a funcionar. Mas existem algumas restrições. Vem entender melhor e descubra como resolver seu problema ? Saiba mais em 32xSP.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Ira Romão/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
281,"São Paulo, 25 de agosto de 2020. Época de eleição chegando e tem vereador que promete de tudo: campo de futebol, escola e até vaga em creche. Mas na real não se compromete em cumprir sua função. Hoje vamos entender porque esse representante é tão importante para as periferias. Saiba mais em agenciamural.org.br O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Humberto Muller #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
282,"São Paulo, 24 de agosto de 2020. A Thaiza é educadora ambiental e junto com outros moradores de Osasco fundou durante a pandemia a Ecoz, uma iniciativa que compra alimentos de pequenos agricultores da cidade e faz vendas de cestas ecológicas para custear doações à mães solo em situação de vulnerabilidade. Saiba mais em agenciamural.org.br/em-quarentena O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto de capa: Rafael Santana #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
283,Voltamos com novidades! O “Em Quarentena” é o podcast que a Agência Mural de Jornalismo das Periferias criou durante a pandemia. Todos os dias informações úteis para te ajudar a se virar em meio a esse caos. Foto: Léu Britto/Agência Mural 
284,"São Paulo, 31 de julho de 2020. ?Toda sexta-feira, a gente traz para você o Rolê no Sofá. Vamos te contar o que tá rolando de mais legal pra fazer no fim de semana, daí mesmo, do sofá de casa. Tem dicas de música, lives, cinema, literatura…. Vamos nessa?! ? Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Música: #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
285,"São Paulo, 31 de junho de 2020. Estamos “Em Quarentena” diariamente com você há quatro meses, hoje a gente vem pra contar que esse é o fim da primeira temporada do podcast. Relembre alguns dos melhores momentos de tudo que rolou em 80 programas. Já estamos com saudade! ❤️ Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Léu Britto/Agência Mural de Jornalismo das Periferias #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
286,"São Paulo, 30 de junho de 2020. A eleição deste ano vai definir os prefeitos e vereadores que assumirão entre 2021 e 2024. Só na Grande São Paulo, a disputa envolve os cargos de 39 prefeitos e vice-prefeitos, além de 664 vereadores. Como será que a pandemia já vem afetando a disputa e o que pode vir de bom por aí? Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Governo do Estado de São Paulo/Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
287,"São Paulo, 29 de junho de 2020. Os centros de acolhida são locais criados para que pessoas com sintomas leves de coronavírus possam se isolar. Na zona sul de SP existem três deles que não operam na capacidade esperada e podem fechar. ? Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Governo do Estado de São Paulo/Divulgação #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
288,"São Paulo, 28 de junho de 2020. Pelo menos dez reintegrações de posse aconteceram durante a pandemia e outras estão em andamento. De uma hora para outra, centenas de pessoas perderam o lugar onde moravam e o direito de ficar em casa para se proteger de um vírus mortal. As famílias despejadas dizem não receber assistência nem alternativa. Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Léu Britto/Agência Mural #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
289,"São Paulo, 24 de julho de 2020. ?Toda sexta-feira, a gente traz para você o Rolê no Sofá. Vamos te contar o que tá rolando de mais legal pra fazer no fim de semana, daí mesmo, do sofá de casa. Tem dicas de música, lives, cinema, literatura…. Vamos nessa?! ? Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Juliana Santana #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
290,"São Paulo, 23 de junho de 2020. Do vídeo para o hambúrguer: conheça a história de um empreendedor da periferia que mudou totalmente seu ramo de negócio para tentar lidar com a crise. ?? Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Acervo Pessoal #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus #podcast "
291,"São Paulo, 22 de julho de 2020. A paralisia do sono é uma incapacidade de se mover ou falar ao adormecer ou ao acordar. Por ter relação com noites mal dormidas, excesso de preocupação e ansiedade, as crises de paralisia do sono podem aparecer com mais frequência neste período de quarentena. Fomos conversar com moradores que estão sofrendo com isso. Saiba mais em agenciamural.org.br/em-quarentena Viver em meio ao coronavírus não deve estar sendo fácil para ninguém. Imagina então para quem vive nas periferias. O “Em Quarentena” é o podcast especial que a Agência Mural de Jornalismo das Periferias criou neste momento da pandemia. Queremos informar, com notícias do dia a dia, quem mais precisa se virar meio a esse caos. Foto de capa: Reprodução #CoronaNasPeriferias #Covid19NasFavelas #Coronavírus "
292,"Sua escola tem muros? Qual é o mais alto: o físico ou simbólico?De quem queremos proteger nossos espaços educacionais.Nesse episódio, não vão encontrar respostas para as questões, mas sim, muitas provocações.Se outra pedagogia é possível, outra arquitetura terá de ser necessária.Curta, comente e Compartilhe.Mande suas sugestões para: contato.maxmaciel@gmailm.com"
293,"Acompanhe neste episódio como lidei com a Covid19. Os dias, os dramas e o corre para buscar acesso a saúde pública."
294,"Não é pelo direito de fumar um, é pelo fim da guerra aos Pretos; Pelo fim da guerra aos Pobres.A chamada guerra às drogas busca criminalizar às Periferias e quem mora dentro dela. Sua leitura tem cor e cep, ou seja, dependendo de onde você esteja na Cidade e sua cor de pele, você é usuário ou traficante.Confira mais um episódio do nosso #PapodeQuebradaSiga-nos nas redes @maxmacieldf Mande suas críticas e sugestões: contato.maxmaciel@gmail.com"
295,"LEI ALDIR BLANC EM DEBATE!Venha dialogar e compreender mais sobre o Auxílio Emergencial da Cultura, criado a partir da Lei Aldir Blanc e que destinará 3 bilhões de reais para o seteor cultural.Quem pode ter acesso? Quais modelos de espaços pode receber o fomento? Abordaremos também os avanços, desafios e entreves em todo o processo para financiamento cultural durante a pandemia.Max Maciel, empreendedor cultural, entrevista, em sua página no Facebook, a Conselheira de Cultura do DF, Rita Andrade e o Gestor e vice-presidente do Instituto Bem cultural, Leo Hernandez."
296,"Confira como foi nosso ao vivo sobre a voltas às aulas em tempos de Pandemia. O bate papo contou com a participação do Ex. secretario de educação do DF, Educador e CEO da Bei Educação Rafael Parente.  Será que é a hora de voltar? Como está a adaptação e a interação online?Quem não tem acesso a internet, como fica?E nossos professores, o que pensam.Aperte o play e venha com a gente!"
